iter	Passed	Remaining
455	969	1156
456	971	1153
457	972	1150
458	973	1147
459	975	1144
460	976	1141
461	978	1138
462	979	1136
463	980	1132
464	982	1129
465	984	1128
466	986	1125
467	987	1122
468	988	1119
469	990	1116
470	991	1114
471	993	1111
472	994	1108
473	995	1105
474	996	1101
475	999	1100
476	1001	1097
477	1002	1094
478	1003	1091
479	1005	1089
480	1006	1086
481	1008	1083
482	1009	1080
483	1010	1077
484	1012	1075
485	1014	1072
486	1015	1069
487	1016	1066
488	1017	1063
489	1019	1061
490	1022	1059
491	1023	1056
492	1024	1054
493	1026	1051
494	1028	1048
495	1029	1046
496	1030	1043
497	1032	1041
498	1034	1038
499	1035	1035
500	1036	1032
501	1038	1029
502	1039	1026
503	1042	1025
504	1043	1023
505	1045	1020
506	1047	1018
507	1048	1015
508	1049	1012
509	1051	1009
510	1052	1007
511	1053	1004
512	1056	1003
513	1058	1000
514	1060	999
515	1062	996
516	1064	994
517	1066	992
518	1068	989
519	1069	987
520	1072	985
521	1073	983
522	1076	981
523	1077	978
524	1078	976
525	1080	973
526	1081	970
527	1082	967
528	1083	965
529	1086	963
530	1088	961
531	1090	959
532	1092	956
533	1093	954
534	1094	951
535	1096	948
536	1097	946
537	1098	943
538	1102	942
539	1105	941
540	1107	939
541	1109	937
542	1110	934
543	1112	932
544	1113	929
545	1114	926
546	1117	925
547	1119	922
548	1120	920
549	1121	917
550	1122	914
551	1124	912
552	1125	909
553	1126	907
554	1127	904
555	1129	901
556	1133	901
557	1135	899
558	1136	896
559	1138	894
560	1139	891
561	1140	889
562	1142	886
563	1143	883
564	1147	883
565	1148	880
566	1149	877
567	1150	875
568	1152	872
569	1153	870
570	1155	867
571	1156	865
572	1157	862
573	1161	862
574	1162	859
575	1164	857
576	1165	854
577	1166	851
578	1168	849
579	1170	847
580	1171	845
581	1174	843
582	1176	841
583	1177	838
584	1179	836
585	1180	834
586	1182	831
587	1183	829
588	1184	826
589	1186	824
590	1189	823
591	1190	820
592	1192	818
593	1193	815
594	1194	813
595	1195	810
596	1197	808
597	1198	805
598	1200	803
599	1201	801
600	1204	799
601	1205	797
602	1207	794
603	1208	792
604	1211	791
605	1213	788
606	1215	787
607	1217	784
608	1220	783
609	1222	781
610	1224	779
611	1225	777
612	1228	775
613	1230	773
614	1231	770
615	1235	770
